번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
1,병원,01_01_01_P,3530000,PHMA220253530019021200003,2025-10-31,,01,영업/정상,13,영업중,,,,,032-429-8553,2217.14,,인천광역시 남동구 구월동 1140-4 W 타워,"인천광역시 남동구 구월남로 153, W 타워 3,4,5,6(일부층 (구월동)",21555,정담병원,2025-10-31 17:04:20,I,2025-11-02 00:20:01,병원,173967.570731385    ,439063.091920873    ,병원,18,14,40,2217.14,125 122 114 111 109 108 105 104 101,"내과, 외과, 정형외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 가정의학과, 응급의학과",,,,0,0,,,0,,시군구
2,병원,01_01_01_P,3240000,PHMA220253240033021200002,2025-10-31,,01,영업/정상,13,영업중,,,,,02-6677-7533,4644.2,,서울특별시 강동구 길동 412-15,"서울특별시 강동구 양재대로 1463, 5~15층 (길동)",05353,강동아너스힐병원,2025-10-31 16:23:48,I,2025-11-02 00:20:01,병원,212239.908968756    ,448270.008555311    ,병원,123,80,266,4644.2,308 122 120 115 114 113 112 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 안과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 침구과",,,,0,0,,,0,,시군구
3,병원,01_01_01_P,5680000,PHMA220255680060021200002,2025-10-30,,01,영업/정상,13,영업중,,,,,041-430-8866,1546,,충청남도 당진시 읍내동 295-1 골드프라자,"충청남도 당진시 당진중앙1로 195, 골드프라자 2,3층 206,301호 (읍내동)",31770,이안한방병원,2025-10-30 13:43:40,I,2025-11-01 00:20:02,한방병원,167293.284479687    ,377395.868130911    ,한방병원,9,30,54,1546,308 307 306 305 304 303 302 301 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
4,병원,01_01_01_P,4010000,PHMA220254010281021200003,2025-10-29,,01,영업/정상,13,영업중,,,,,031-503-3333,2567.97,,경기도 시흥시 대야동 650 골드웨이Ⅱ,"경기도 시흥시 은계중앙로 374, 골드웨이Ⅱ 6~8층 (대야동)",15120,벧엘한방병원,2025-10-29 11:24:46,I,2025-10-31 00:20:02,한방병원,181795.781466014    ,438768.973679783    ,한방병원,23,34,85,2567.97,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
5,병원,01_01_01_P,5310000,PHMA220255310029021200002,2025-10-24,,01,영업/정상,13,영업중,,,,,055-755-9005,4408.2,,경상남도 진주시 이현동 376-1,경상남도 진주시 서장대로213번길 7 (이현동),52653,베스트병원,2025-10-28 11:11:15,U,2025-10-30 02:40:00,병원,296088.327255638    ,188542.231014133    ,병원,18,62,192,4408.2,101 120,"내과, 재활의학과",,,,0,0,,,0,,시군구
6,병원,01_01_01_P,3590000,PHMA220253590019021200002,2025-10-22,,01,영업/정상,13,영업중,,,,,062-522-7576,2486.66,,광주광역시 동구 계림동 559-10,광주광역시 동구 무등로 329 (계림동),61401,조아진병원,2025-10-31 09:31:11,U,2025-11-02 02:40:00,병원,192558.5078563      ,184741.724920279    ,병원,18,19,58,2486.66,109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과",,,,0,0,,,0,,시군구
7,병원,01_01_01_P,4050000,PHMA220254050149021200002,2025-10-17,,01,영업/정상,13,영업중,,,,,031-889-7000,6056.59,,경기도 용인시 수지구 고기동 698-1,경기도 용인시 수지구 이종무로203번길 33 (고기동),16800,라벤더힐병원,2025-10-17 17:03:32,I,2025-10-19 00:20:09,병원,202952.489775864    ,428614.541863305    ,병원,38,49,82,6056.59,101,내과,,,,0,0,,,0,,시군구
8,병원,01_01_01_P,3460000,PHMA220253460023021200002,2025-10-17,,01,영업/정상,13,영업중,,,,,1588-3386,3059.3,,대구광역시 수성구 대흥동 871-4,"대구광역시 수성구 알파시티1로 16, 6~11층 (대흥동)",42251,성모한방병원,2025-10-28 15:21:37,U,2025-10-30 02:40:00,한방병원,352494.348939805    ,261455.318139429    ,한방병원,17,40,80,3059.3,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
9,병원,01_01_01_P,3450000,PHMA220253450022021200001,2025-10-02,,01,영업/정상,13,영업중,,,,,053-556-5000,2540.32,,"대구광역시 북구 침산동 285-2 엠브로스퀘어 4층일부,5층일부,6층전체,7층일부","대구광역시 북구 침산로 148, 엠브로스퀘어 4층일부,5층일부,6층전체,7층일부 (침산동)",41560,수월한방병원,2025-10-30 14:37:39,U,2025-11-01 02:40:00,한방병원,343643.019629756    ,266624.077298604    ,한방병원,31,44,98,2540.32,308 307 306 305 304 303 301 122,"가정의학과, 한방내과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
10,병원,01_01_01_P,3510500,PHMA220253510513021200001,2025-09-30,,01,영업/정상,13,영업중,,,,,032-721-4554,1937.17,,인천광역시 미추홀구 숭의동 343-1 정산빌딩,"인천광역시 미추홀구 인중로 5, 정산빌딩 1,3,4층 (숭의동)",22174,세명한방병원,2025-10-01 15:14:41,I,2025-10-05 00:20:16,한방병원,168238.491383711    ,440057.8292756      ,한방병원,19,21,62,1937.17,301 101 303 302 306 308 304,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
